id,type,name,status,description,start,end,epic
1,TASK,"Сходить в магазин",NEW,"Сходить в продуктовый магазин, купить хлеба, десяток яиц, палку колбасы, кусок сыра",25.06.2023 21:30,25.06.2023 22:00
2,TASK,"Посмотреть фильмы",NEW,"Посмотреть фильмы, которые находятся в закладках браузера",31.12.2099 00:00,31.12.2099 00:00
8,TASK,"Проект",NEW,"Доделать проект",31.12.2099 00:00,31.12.2099 00:00
3,EPIC,"Сдать 7 ТЗ",NEW,"Доделать и сдать финальное задание 7 спринта",25.06.2023 22:00,26.06.2023 23:00
7,EPIC,"Codewars",NEW,"Попрактиковаться в решении задач на codewars",31.12.2099 00:00,31.12.2099 00:00
4,SUBTASK,"Дописать тесты",NEW,"Дописать тесты на все методы",25.06.2023 22:00,25.06.2023 23:00,3
5,SUBTASK,"Сдать задание",NEW,"Загрузить код на GitHub, отправить на проверку ревьюеру",25.06.2023 23:00,25.06.2023 23:10,3
6,SUBTASK,"Пройти ревью",NEW,"Изучить фидбэк, при необходимости внести исправления",26.06.2023 22:00,26.06.2023 23:00,3

5,3,2,6,1,7,4